agtsomhed		sb.	51003337	1	agtsomhed;agtsomheden;agtsomhedens;agtsomheds
agtværdig		adj.	11000986	2	agtværdig;agtværdige;agtværdiges;agtværdigt;agtværdigts
agtværdighed		sb.	51003338	2	agtværdighed;agtværdigheden;agtværdighedens;agtværdigheds
ahistorisk		adj.	11000993	-1	ahistorisk;ahistoriske;ahistoriskes;ahistorisks
ajour		adj.	11001014	1	ajour;ajours
ak		udråbsord	11001016	-1	ak
akademisering		sb.	49101957	-1	akademisering;akademiseringen;akademiseringens;akademiseringer;akademiseringerne;akademiseringernes;akademiseringers;akademiserings
akavet		adj.	11001026	-2	akavede;akavedes;akavet;akavets
akavethed		sb.	51003340	-2	akavethed;akavetheden;akavethedens;akavetheds
akilleshæl		sb.	11001029	-2	akilleshæl;akilleshæle;akilleshælen;akilleshælene;akilleshælenes;akilleshælens;akilleshæles;akilleshæls
akklamation		sb.	11001032	2	akklamation;akklamationen;akklamationens;akklamationer;akklamationerne;akklamationernes;akklamationers;akklamations
akkommodation		sb.	11001035	1	akkommodation;akkommodationen;akkommodationens;akkommodations
akkommodere		vb.	11001036	1	akkommoder;akkommodere;akkommoderede;akkommoderende;akkommoderer;akkommoderes;akkommoderet
